,Name,Class
0,C:\Users\amart50\Desktop\Data\bench\61.jpg,0
1,C:\Users\amart50\Desktop\Data\bench\bench0.jpg,0
2,C:\Users\amart50\Desktop\Data\bench\bench1.jpg,0
3,C:\Users\amart50\Desktop\Data\bench\bench10.jpg,0
4,C:\Users\amart50\Desktop\Data\bench\bench100.jpg,0
5,C:\Users\amart50\Desktop\Data\bench\bench101.jpg,0
6,C:\Users\amart50\Desktop\Data\bench\bench102.jpg,0
7,C:\Users\amart50\Desktop\Data\bench\bench103.jpg,0
8,C:\Users\amart50\Desktop\Data\bench\bench104.jpg,0
9,C:\Users\amart50\Desktop\Data\bench\bench105.jpg,0
10,C:\Users\amart50\Desktop\Data\bench\bench106.jpg,0
11,C:\Users\amart50\Desktop\Data\bench\bench107.jpg,0
12,C:\Users\amart50\Desktop\Data\bench\bench108.jpg,0
13,C:\Users\amart50\Desktop\Data\bench\bench109.jpg,0
14,C:\Users\amart50\Desktop\Data\bench\bench11.jpg,0
15,C:\Users\amart50\Desktop\Data\bench\bench110.jpg,0
16,C:\Users\amart50\Desktop\Data\bench\bench111.jpg,0
17,C:\Users\amart50\Desktop\Data\bench\bench112.jpg,0
18,C:\Users\amart50\Desktop\Data\bench\bench113.jpg,0
19,C:\Users\amart50\Desktop\Data\bench\bench114.jpg,0
20,C:\Users\amart50\Desktop\Data\bench\bench115.jpg,0
21,C:\Users\amart50\Desktop\Data\bench\bench116.jpg,0
22,C:\Users\amart50\Desktop\Data\bench\bench117.jpg,0
23,C:\Users\amart50\Desktop\Data\bench\bench118.jpg,0
24,C:\Users\amart50\Desktop\Data\bench\bench119.jpg,0
25,C:\Users\amart50\Desktop\Data\bench\bench12.jpg,0
26,C:\Users\amart50\Desktop\Data\bench\bench120.jpg,0
27,C:\Users\amart50\Desktop\Data\bench\bench121.jpg,0
28,C:\Users\amart50\Desktop\Data\bench\bench122.jpg,0
29,C:\Users\amart50\Desktop\Data\bench\bench123.jpg,0
30,C:\Users\amart50\Desktop\Data\bench\bench124.jpg,0
31,C:\Users\amart50\Desktop\Data\bench\bench125.jpg,0
32,C:\Users\amart50\Desktop\Data\bench\bench126.jpg,0
33,C:\Users\amart50\Desktop\Data\bench\bench127.jpg,0
34,C:\Users\amart50\Desktop\Data\bench\bench128.jpg,0
35,C:\Users\amart50\Desktop\Data\bench\bench129.jpg,0
36,C:\Users\amart50\Desktop\Data\bench\bench13.jpg,0
37,C:\Users\amart50\Desktop\Data\bench\bench130.jpg,0
38,C:\Users\amart50\Desktop\Data\bench\bench131.jpg,0
39,C:\Users\amart50\Desktop\Data\bench\bench132.jpg,0
40,C:\Users\amart50\Desktop\Data\bench\bench133.jpg,0
41,C:\Users\amart50\Desktop\Data\bench\bench134.jpg,0
42,C:\Users\amart50\Desktop\Data\bench\bench135.jpg,0
43,C:\Users\amart50\Desktop\Data\bench\bench136.jpg,0
44,C:\Users\amart50\Desktop\Data\bench\bench137.jpg,0
45,C:\Users\amart50\Desktop\Data\bench\bench138.jpg,0
46,C:\Users\amart50\Desktop\Data\bench\bench139.jpg,0
47,C:\Users\amart50\Desktop\Data\bench\bench14.jpg,0
48,C:\Users\amart50\Desktop\Data\bench\bench140.jpg,0
49,C:\Users\amart50\Desktop\Data\bench\bench141.jpg,0
50,C:\Users\amart50\Desktop\Data\bench\bench142.jpg,0
51,C:\Users\amart50\Desktop\Data\bench\bench143.jpg,0
52,C:\Users\amart50\Desktop\Data\bench\bench144.jpg,0
53,C:\Users\amart50\Desktop\Data\bench\bench145.jpg,0
54,C:\Users\amart50\Desktop\Data\bench\bench146.jpg,0
55,C:\Users\amart50\Desktop\Data\bench\bench147.jpg,0
56,C:\Users\amart50\Desktop\Data\bench\bench148.jpg,0
57,C:\Users\amart50\Desktop\Data\bench\bench149.jpg,0
58,C:\Users\amart50\Desktop\Data\bench\bench15.jpg,0
59,C:\Users\amart50\Desktop\Data\bench\bench150.jpg,0
60,C:\Users\amart50\Desktop\Data\bench\bench151.jpg,0
61,C:\Users\amart50\Desktop\Data\bench\bench152.jpg,0
62,C:\Users\amart50\Desktop\Data\bench\bench153.jpg,0
63,C:\Users\amart50\Desktop\Data\bench\bench154.jpg,0
64,C:\Users\amart50\Desktop\Data\bench\bench155.jpg,0
65,C:\Users\amart50\Desktop\Data\bench\bench156.jpg,0
66,C:\Users\amart50\Desktop\Data\bench\bench157.jpg,0
67,C:\Users\amart50\Desktop\Data\bench\bench158.jpg,0
68,C:\Users\amart50\Desktop\Data\bench\bench159.jpg,0
69,C:\Users\amart50\Desktop\Data\bench\bench16.jpg,0
70,C:\Users\amart50\Desktop\Data\bench\bench160.jpg,0
71,C:\Users\amart50\Desktop\Data\bench\bench161.jpg,0
72,C:\Users\amart50\Desktop\Data\bench\bench162.jpg,0
73,C:\Users\amart50\Desktop\Data\bench\bench163.jpg,0
74,C:\Users\amart50\Desktop\Data\bench\bench164.jpg,0
75,C:\Users\amart50\Desktop\Data\bench\bench165.jpg,0
76,C:\Users\amart50\Desktop\Data\bench\bench166.jpg,0
77,C:\Users\amart50\Desktop\Data\bench\bench167.jpg,0
78,C:\Users\amart50\Desktop\Data\bench\bench168.jpg,0
79,C:\Users\amart50\Desktop\Data\bench\bench169.jpg,0
80,C:\Users\amart50\Desktop\Data\bench\bench17.jpg,0
81,C:\Users\amart50\Desktop\Data\bench\bench170.jpg,0
82,C:\Users\amart50\Desktop\Data\bench\bench171.jpg,0
83,C:\Users\amart50\Desktop\Data\bench\bench172.jpg,0
84,C:\Users\amart50\Desktop\Data\bench\bench173.jpg,0
85,C:\Users\amart50\Desktop\Data\bench\bench174.jpg,0
86,C:\Users\amart50\Desktop\Data\bench\bench175.jpg,0
87,C:\Users\amart50\Desktop\Data\bench\bench176.jpg,0
88,C:\Users\amart50\Desktop\Data\bench\bench177.jpg,0
89,C:\Users\amart50\Desktop\Data\bench\bench178.jpg,0
90,C:\Users\amart50\Desktop\Data\bench\bench179.jpg,0
91,C:\Users\amart50\Desktop\Data\bench\bench18.jpg,0
92,C:\Users\amart50\Desktop\Data\bench\bench180.jpg,0
93,C:\Users\amart50\Desktop\Data\bench\bench181.jpg,0
94,C:\Users\amart50\Desktop\Data\bench\bench182.jpg,0
95,C:\Users\amart50\Desktop\Data\bench\bench183.jpg,0
96,C:\Users\amart50\Desktop\Data\bench\bench184.jpg,0
97,C:\Users\amart50\Desktop\Data\bench\bench185.jpg,0
98,C:\Users\amart50\Desktop\Data\bench\bench186.jpg,0
99,C:\Users\amart50\Desktop\Data\bench\bench187.jpg,0
100,C:\Users\amart50\Desktop\Data\bench\bench188.jpg,0
101,C:\Users\amart50\Desktop\Data\bench\bench189.jpg,0
102,C:\Users\amart50\Desktop\Data\bench\bench19.jpg,0
103,C:\Users\amart50\Desktop\Data\bench\bench190.jpg,0
104,C:\Users\amart50\Desktop\Data\bench\bench191.jpg,0
